,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
6031,50895934,0,0,0,0,0,0,0,1,0,0,0,0
6062,50974767,0,0,0,0,0,0,0,1,0,0,0,0
6076,51009999,0,0,0,0,0,0,0,1,0,0,0,0
6092,51037419,0,0,0,0,0,0,0,1,0,0,0,0
6114,51105828,0,0,0,0,0,0,0,1,0,0,0,0
6134,51141037,0,0,0,0,0,0,0,1,0,0,0,0
6149,51187602,0,0,0,0,0,0,0,1,0,0,0,0
6157,51215428,0,0,0,0,0,0,0,1,0,0,0,0
6158,51216548,0,0,0,0,0,0,0,1,0,0,0,0
6165,51227765,0,0,0,0,0,0,0,1,0,0,0,0
6210,51336038,0,0,0,0,0,0,0,1,0,0,0,0
6219,51355124,0,0,0,0,0,0,0,1,0,0,0,0
6236,51404718,0,0,0,0,0,0,0,1,0,0,0,0
6257,51472996,0,0,0,0,0,0,0,1,0,0,0,0
6270,51511549,0,0,0,0,0,0,0,1,0,0,0,0
6304,51609066,0,0,0,0,0,0,0,1,0,0,0,0
6323,51682307,0,0,0,0,0,0,0,1,0,0,0,0
6356,51770450,0,0,0,0,0,0,0,1,0,0,0,0
6403,51905536,0,0,0,0,0,0,0,1,0,0,0,0
6404,51909632,0,0,0,0,0,0,0,1,0,0,0,0
6408,51921036,0,0,0,0,0,0,0,1,0,0,0,0
6415,51932846,0,0,0,0,0,0,0,1,0,0,0,0
6428,51977984,0,0,0,0,0,0,0,1,0,0,0,0
6438,51999049,0,0,0,0,0,0,0,1,0,0,0,0
6439,52001348,0,0,0,0,0,0,0,1,0,0,0,0
6443,52006986,0,0,0,0,0,0,0,1,0,0,0,0
6458,52076786,0,0,0,0,0,0,0,1,0,0,0,0
6471,52107497,0,0,0,0,0,0,0,1,0,0,0,0
6497,52145218,0,0,0,0,0,0,0,1,0,0,0,0
6503,52148053,0,0,0,0,0,0,0,1,0,0,0,0
6504,52149910,0,0,0,0,0,0,0,1,0,0,0,0
6528,52206753,0,0,0,0,0,0,0,1,0,0,0,0
6529,52210377,0,0,0,0,0,0,0,1,0,0,0,0
6533,52224562,0,0,0,0,0,0,0,1,0,0,0,0
6550,52260636,0,0,0,0,0,0,0,1,0,0,0,0
6556,52265415,0,0,0,0,0,0,0,1,0,0,0,0
6574,52318750,0,0,0,0,0,0,0,1,0,0,0,0
6578,52323913,0,0,0,0,0,0,0,1,0,0,0,0
6635,52475151,0,0,0,0,0,0,0,1,0,0,0,0
6639,52483693,0,0,0,0,0,0,0,1,0,0,0,0
6645,52510558,0,0,0,0,0,0,0,1,0,0,0,0
6653,52522354,0,0,0,0,0,0,0,1,0,0,0,0
6657,52527621,0,0,0,0,0,0,0,1,0,0,0,0
6723,52710458,0,0,0,0,0,0,0,1,0,0,0,0
6732,52741110,0,0,0,0,0,0,0,1,0,0,0,0
6771,52844543,0,0,0,0,0,0,0,1,0,0,0,0
6773,52845523,0,0,0,0,0,0,0,1,0,0,0,0
6775,52850194,0,0,0,0,0,0,0,1,0,0,0,0
6777,52856299,0,0,0,0,0,0,0,1,0,0,0,0
6779,52863908,0,0,0,0,0,0,0,1,0,0,0,0
6796,52914439,0,0,0,0,0,0,0,1,0,0,0,0
6833,53021183,0,0,0,0,0,0,0,1,0,0,0,0
6864,53090888,0,0,0,0,0,0,0,1,0,0,0,0
6875,53112872,0,0,0,0,0,0,0,1,0,0,0,0
6895,53173773,0,0,0,0,0,0,0,1,0,0,0,0
6901,53195250,0,0,0,0,0,0,0,1,0,0,0,0
6932,53302518,0,0,0,0,0,0,0,1,0,0,0,0
6957,53362240,0,0,0,0,0,0,0,1,0,0,0,0
6964,53375715,0,0,0,0,0,0,0,1,0,0,0,0
6978,53400320,0,0,0,0,0,0,0,1,0,0,0,0
6983,53406835,0,0,0,0,0,0,0,1,0,0,0,0
6992,53440246,0,0,0,0,0,0,0,1,0,0,0,0
6995,53456844,0,0,0,0,0,0,0,1,0,0,0,0
7057,53625950,0,0,0,0,0,0,0,1,0,0,0,0
7080,53691890,0,0,0,0,0,0,0,1,0,0,0,0
7132,53820620,0,0,0,0,0,0,0,1,0,0,0,0
7142,53850458,0,0,0,0,0,0,0,1,0,0,0,0
7149,53863032,0,0,0,0,0,0,0,1,0,0,0,0
7164,53887973,0,0,0,0,0,0,0,1,0,0,0,0
7210,53971382,0,0,0,0,0,0,0,1,0,0,0,0
7212,53975477,0,0,0,0,0,0,0,1,0,0,0,0
7214,53979572,0,0,0,0,0,0,0,1,0,0,0,0
7225,53990422,0,0,0,0,0,0,0,1,0,0,0,0
7230,53999330,0,0,0,0,0,0,0,1,0,0,0,0
7255,54069276,0,0,0,0,0,0,0,1,0,0,0,0
7302,54221470,0,0,0,0,0,0,0,1,0,0,0,0
7304,54226167,0,0,0,0,0,0,0,1,0,0,0,0
7362,54392248,0,0,0,0,0,0,0,1,0,0,0,0
7367,54412645,0,0,0,0,0,0,0,1,0,0,0,0
7371,54422315,0,0,0,0,0,0,0,1,0,0,0,0
7394,54507056,0,0,0,0,0,0,0,1,0,0,0,0
7399,54517073,0,0,0,0,0,0,0,1,0,0,0,0
7418,54584439,0,0,0,0,0,0,0,1,0,0,0,0
7449,54648550,0,0,0,0,0,0,0,1,0,0,0,0
7461,54677451,0,0,0,0,0,0,0,1,0,0,0,0
7470,54714556,0,0,0,0,0,0,0,1,0,0,0,0
7486,54747780,0,0,0,0,0,0,0,1,0,0,0,0
7493,54761649,0,0,0,0,0,0,0,1,0,0,0,0
