,filename,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12
23290,BoostIO_Boostnote_3345,1,0,0,0,0,0,0,0,0,0,0,0
23311,BoostIO_Boostnote_3368,1,0,0,0,0,0,0,0,0,0,0,0
23313,BoostIO_Boostnote_3372,1,0,0,0,0,0,0,0,0,0,0,0
23352,BoostIO_Boostnote_344,1,0,0,0,0,0,0,0,0,0,0,0
23355,BoostIO_Boostnote_3442,1,0,0,0,0,0,0,0,0,0,0,0
23383,BoostIO_Boostnote_3495,1,0,0,0,0,0,0,0,0,0,0,0
23406,BoostIO_Boostnote_375,1,0,0,0,0,0,0,0,0,0,0,0
23410,BoostIO_Boostnote_379,1,0,0,0,0,0,0,0,0,0,0,0
23430,BoostIO_Boostnote_403,1,0,0,0,0,0,0,0,0,0,0,0
23435,BoostIO_Boostnote_409,1,0,0,0,0,0,0,0,0,0,0,0
23447,BoostIO_Boostnote_421,1,0,0,0,0,0,0,0,0,0,0,0
23465,BoostIO_Boostnote_447,1,0,0,0,0,0,0,0,0,0,0,0
23503,BoostIO_Boostnote_497,1,0,0,0,0,0,0,0,0,0,0,0
23506,BoostIO_Boostnote_5,1,0,0,0,0,0,0,0,0,0,0,0
23536,BoostIO_Boostnote_538,1,0,0,0,0,0,0,0,0,0,0,0
23548,BoostIO_Boostnote_554,1,0,0,0,0,0,0,0,0,0,0,0
23558,BoostIO_Boostnote_566,1,0,0,0,0,0,0,0,0,0,0,0
23560,BoostIO_Boostnote_57,1,0,0,0,0,0,0,0,0,0,0,0
23576,BoostIO_Boostnote_589,1,0,0,0,0,0,0,0,0,0,0,0
23583,BoostIO_Boostnote_596,1,0,0,0,0,0,0,0,0,0,0,0
23603,BoostIO_Boostnote_64,1,0,0,0,0,0,0,0,0,0,0,0
23615,BoostIO_Boostnote_66,1,0,0,0,0,0,0,0,0,0,0,0
23628,BoostIO_Boostnote_687,1,0,0,0,0,0,0,0,0,0,0,0
23637,BoostIO_Boostnote_713,1,0,0,0,0,0,0,0,0,0,0,0
23686,BoostIO_Boostnote_791,1,0,0,0,0,0,0,0,0,0,0,0
23724,BoostIO_Boostnote_852,1,0,0,0,0,0,0,0,0,0,0,0
23755,BoostIO_Boostnote_898,1,0,0,0,0,0,0,0,0,0,0,0
23766,BoostIO_Boostnote_909,1,0,0,0,0,0,0,0,0,0,0,0
23782,BoostIO_Boostnote_93,1,0,0,0,0,0,0,0,0,0,0,0
